Area,Median earning,Population_16+,Earning range,Count,Population_18+,BA/BS_18+
"Sheboygan County, Wisconsin",55118,46180,"9,999 or less",1221,92975.0,25493.0
"Walworth County, Wisconsin",57274,38328,"9,999 or less",540,85512.0,26176.0
"Washington County, Wisconsin",65751,57042,"9,999 or less",763,109449.0,37019.0
"Waukesha County, Wisconsin",72337,162445,"9,999 or less",1791,327017.0,150618.0
"Winnebago County, Wisconsin",53677,65843,"9,999 or less",675,137307.0,43258.0
"Wood County, Wisconsin",50643,25381,"9,999 or less",467,57869.0,12988.0
"Laramie County, Wyoming",56641,38656,"9,999 or less",193,78473.0,24966.0
"Natrona County, Wyoming",60787,27099,"9,999 or less",489,61594.0,16395.0
"Arecibo Municipio, Puerto Rico",31179,,"9,999 or less",,72430.0,22030.0
"Bayamón Municipio, Puerto Rico",28995,51319,"9,999 or less",1040,153817.0,49999.0
"Caguas Municipio, Puerto Rico",30548,36120,"9,999 or less",460,105577.0,35015.0
"Carolina Municipio, Puerto Rico",26814,52493,"9,999 or less",945,128213.0,42966.0
"Guaynabo Municipio, Puerto Rico",38820,30346,"9,999 or less",383,77139.0,37235.0
"Mayagüez Municipio, Puerto Rico",22420,,"9,999 or less",,59187.0,13463.0
"Ponce Municipio, Puerto Rico",24803,27949,"9,999 or less",918,108609.0,31585.0
"San Juan Municipio, Puerto Rico",33875,97446,"9,999 or less",2731,283752.0,111878.0
"Toa Alta Municipio, Puerto Rico",29274,,"9,999 or less",,55533.0,16133.0
"Toa Baja Municipio, Puerto Rico",28483,24735,"9,999 or less",707,60750.0,16918.0
"Trujillo Alto Municipio, Puerto Rico",36446,,"9,999 or less",,56610.0,22111.0
Geographic Area Name,,,"10,000 - 14,999",,,
"Baldwin County, Alabama",56339,90456,"10,000 - 14,999",1678,200404.0,61456.0
"Calhoun County, Alabama",45999,35776,"10,000 - 14,999",475,91919.0,19162.0
"Cullman County, Alabama",50270,30508,"10,000 - 14,999",1060,71530.0,11726.0
"DeKalb County, Alabama",40200,22690,"10,000 - 14,999",1455,55149.0,7136.0
"Elmore County, Alabama",53486,,"10,000 - 14,999",,71009.0,17858.0
"Etowah County, Alabama",47183,32505,"10,000 - 14,999",778,80630.0,13550.0
"Houston County, Alabama",44299,38094,"10,000 - 14,999",1033,83711.0,17674.0
"Jefferson County, Alabama",52154,240596,"10,000 - 14,999",6315,511772.0,175143.0
"Lauderdale County, Alabama",50352,31290,"10,000 - 14,999",750,78167.0,21944.0
"Lee County, Alabama",55005,60989,"10,000 - 14,999",2028,145155.0,51326.0
"Limestone County, Alabama",65429,42413,"10,000 - 14,999",337,88832.0,27394.0
"Madison County, Alabama",62163,159560,"10,000 - 14,999",2579,324169.0,143896.0
"Marshall County, Alabama",45766,34070,"10,000 - 14,999",730,74939.0,14882.0
"Mobile County, Alabama",47376,143910,"10,000 - 14,999",3791,316274.0,79505.0
"Montgomery County, Alabama",50625,75136,"10,000 - 14,999",2000,170839.0,52471.0
"Morgan County, Alabama",52331,43681,"10,000 - 14,999",478,96033.0,22656.0
"St. Clair County, Alabama",57153,36995,"10,000 - 14,999",186,74269.0,17123.0
"Shelby County, Alabama",61260,93473,"10,000 - 14,999",1752,180620.0,72868.0
"Talladega County, Alabama",50114,,"10,000 - 14,999",,64911.0,10801.0
"Tuscaloosa County, Alabama",52172,80048,"10,000 - 14,999",2064,189087.0,51151.0
"Anchorage Municipality, Alaska",65346,110053,"10,000 - 14,999",1598,219385.0,78576.0
"Fairbanks North Star Borough, Alaska",55242,37739,"10,000 - 14,999",1088,72090.0,20265.0
"Matanuska-Susitna Borough, Alaska",65949,36393,"10,000 - 14,999",424,86125.0,20490.0
"Apache County, Arizona",44211,,"10,000 - 14,999",,48498.0,7362.0
"Cochise County, Arizona",47957,29797,"10,000 - 14,999",723,99375.0,23726.0
"Coconino County, Arizona",55546,45893,"10,000 - 14,999",907,117228.0,37596.0
"Maricopa County, Arizona",60080,1740582,"10,000 - 14,999",26033,3572374.0,1217205.0
"Mohave County, Arizona",46567,56371,"10,000 - 14,999",1952,188213.0,27861.0
"Navajo County, Arizona",50775,27516,"10,000 - 14,999",744,82735.0,13012.0
"Pima County, Arizona",54348,347176,"10,000 - 14,999",8232,858318.0,285796.0
"Pinal County, Arizona",52664,155187,"10,000 - 14,999",2642,380479.0,78273.0
"Yavapai County, Arizona",57239,63021,"10,000 - 14,999",1418,211565.0,63308.0
"Yuma County, Arizona",47220,63669,"10,000 - 14,999",972,161451.0,25597.0
"Benton County, Arkansas",60854,122979,"10,000 - 14,999",625,233033.0,82670.0
"Craighead County, Arkansas",49672,39436,"10,000 - 14,999",530,85259.0,23302.0
"Faulkner County, Arkansas",50267,50172,"10,000 - 14,999",1210,100860.0,32075.0
"Garland County, Arkansas",45718,30844,"10,000 - 14,999",471,80167.0,22121.0
"Jefferson County, Arkansas",41019,,"10,000 - 14,999",,50243.0,9889.0
"Lonoke County, Arkansas",51232,,"10,000 - 14,999",,57513.0,11891.0
"Pulaski County, Arkansas",51419,146662,"10,000 - 14,999",1647,307397.0,104323.0
"Saline County, Arkansas",55790,51266,"10,000 - 14,999",998,99734.0,27989.0
"Sebastian County, Arkansas",45562,46018,"10,000 - 14,999",965,98580.0,22186.0
"Washington County, Arkansas",49502,98735,"10,000 - 14,999",2459,200986.0,63784.0
"White County, Arkansas",50238,22871,"10,000 - 14,999",393,60248.0,12692.0
"Alameda County, California",88441,628247,"10,000 - 14,999",6346,1306255.0,631972.0
"Butte County, California",57436,56662,"10,000 - 14,999",1137,164972.0,43735.0
"Contra Costa County, California",82799,407062,"10,000 - 14,999",5745,904586.0,391526.0
"El Dorado County, California",86006,59578,"10,000 - 14,999",789,154992.0,60103.0
"Fresno County, California",52287,301517,"10,000 - 14,999",5584,737410.0,165599.0
"Humboldt County, California",50687,33924,"10,000 - 14,999",504,109335.0,35601.0
"Imperial County, California",48408,45376,"10,000 - 14,999",1138,128867.0,19717.0
"Kern County, California",50633,271377,"10,000 - 14,999",8785,654441.0,108134.0
"Kings County, California",49326,40545,"10,000 - 14,999",706,111965.0,10930.0
"Lake County, California",52645,,"10,000 - 14,999",,53202.0,8203.0
"Los Angeles County, California",60736,3451180,"10,000 - 14,999",60389,7710575.0,2627965.0
"Madera County, California",49555,43190,"10,000 - 14,999",413,119406.0,17069.0
"Marin County, California",102034,79483,"10,000 - 14,999",1051,206252.0,116189.0
"Mendocino County, California",57812,21557,"10,000 - 14,999",377,71266.0,18898.0
"Merced County, California",49938,86218,"10,000 - 14,999",2657,209139.0,29180.0
"Monterey County, California",55983,130963,"10,000 - 14,999",3358,321073.0,83939.0
"Napa County, California",68088,48728,"10,000 - 14,999",917,107936.0,39272.0
"Nevada County, California",80412,26486,"10,000 - 14,999",374,84777.0,32546.0
"Orange County, California",70160,1155366,"10,000 - 14,999",17403,2489875.0,1026632.0
"Placer County, California",83654,140259,"10,000 - 14,999",1332,332429.0,137635.0
"Riverside County, California",56743,836635,"10,000 - 14,999",15243,1899182.0,461461.0
"Sacramento County, California",65442,534740,"10,000 - 14,999",9593,1226535.0,400117.0
"San Benito County, California",66878,,"10,000 - 14,999",,51935.0,11092.0
"San Bernardino County, California",53694,726716,"10,000 - 14,999",11500,1641871.0,353798.0
"San Diego County, California",70778,1236458,"10,000 - 14,999",15862,2594849.0,1032992.0
"San Francisco County, California",110581,350025,"10,000 - 14,999",5086,698913.0,412203.0
"San Joaquin County, California",60896,259097,"10,000 - 14,999",5016,593733.0,129443.0
"San Luis Obispo County, California",67973,84647,"10,000 - 14,999",932,233245.0,84259.0
"San Mateo County, California",100604,288633,"10,000 - 14,999",1633,587887.0,305592.0
"Santa Barbara County, California",61183,134289,"10,000 - 14,999",3165,343094.0,106453.0
"Santa Clara County, California",103509,746015,"10,000 - 14,999",6220,1503214.0,797908.0
"Santa Cruz County, California",71228,79825,"10,000 - 14,999",784,214684.0,80803.0
"Shasta County, California",55415,55043,"10,000 - 14,999",642,141516.0,30193.0
"Solano County, California",65307,155772,"10,000 - 14,999",2182,352455.0,94550.0
"Sonoma County, California",70717,165686,"10,000 - 14,999",770,391712.0,136337.0
"Stanislaus County, California",57982,171601,"10,000 - 14,999",3111,405321.0,77811.0
"Sutter County, California",53245,29720,"10,000 - 14,999",474,74369.0,13177.0
"Tehama County, California",47308,,"10,000 - 14,999",,49287.0,10168.0
"Tulare County, California",50518,140584,"10,000 - 14,999",3490,338510.0,51393.0
"Ventura County, California",65648,292265,"10,000 - 14,999",3133,651462.0,228314.0
"Yolo County, California",66530,72489,"10,000 - 14,999",1684,178433.0,68487.0
"Yuba County, California",60332,,"10,000 - 14,999",,62561.0,9422.0
"Adams County, Colorado",60441,227444,"10,000 - 14,999",3318,403764.0,109809.0
"Arapahoe County, Colorado",66698,267468,"10,000 - 14,999",4033,510233.0,220549.0
"Boulder County, Colorado",76533,118051,"10,000 - 14,999",2571,271274.0,151215.0
"Broomfield County, Colorado",75683,32082,"10,000 - 14,999",630,61357.0,34340.0
"Denver County, Colorado",75452,330023,"10,000 - 14,999",3762,589708.0,321857.0
"Douglas County, Colorado",92868,161105,"10,000 - 14,999",1343,296166.0,171194.0
"El Paso County, Colorado",61301,292566,"10,000 - 14,999",7686,574277.0,230364.0
"Jefferson County, Colorado",74965,240621,"10,000 - 14,999",2232,472688.0,234767.0
"Larimer County, Colorado",64039,135841,"10,000 - 14,999",2091,304160.0,140263.0
"Mesa County, Colorado",54902,49929,"10,000 - 14,999",1298,127570.0,38334.0
"Pueblo County, Colorado",53796,56655,"10,000 - 14,999",1101,133194.0,29732.0
"Weld County, Colorado",61457,138117,"10,000 - 14,999",2677,268663.0,82782.0
"Capitol Planning Region, Connecticut",69999,365516,"10,000 - 14,999",5512,780093.0,301225.0
"Greater Bridgeport Planning Region, Connecticut",71282,116648,"10,000 - 14,999",1581,256228.0,101836.0
"Lower Connecticut River Valley Planning Region, Connecticut",77428,64380,"10,000 - 14,999",1099,147262.0,65172.0
"Naugatuck Valley Planning Region, Connecticut",65788,168016,"10,000 - 14,999",2413,364229.0,114790.0
"Northeastern Connecticut Planning Region, Connecticut",66890,39495,"10,000 - 14,999",291,79122.0,21931.0
"Northwest Hills Planning Region, Connecticut",72347,41140,"10,000 - 14,999",633,93426.0,36459.0
"South Central Connecticut Planning Region, Connecticut",67165,204089,"10,000 - 14,999",2059,457945.0,180664.0
"Southeastern Connecticut Planning Region, Connecticut",66675,96475,"10,000 - 14,999",1920,226481.0,79039.0
"Western Connecticut Planning Region, Connecticut",85496,234034,"10,000 - 14,999",3209,489766.0,262556.0
"Kent County, Delaware",51366,69889,"10,000 - 14,999",2026,146812.0,36499.0
"New Castle County, Delaware",65633,222086,"10,000 - 14,999",3530,456334.0,171654.0
"Sussex County, Delaware",52662,83145,"10,000 - 14,999",957,216819.0,68170.0
"District of Columbia, District of Columbia",100747,309037,"10,000 - 14,999",808,552446.0,340541.0
"Alachua County, Florida",56687,94923,"10,000 - 14,999",1884,235265.0,98746.0
"Bay County, Florida",52901,68605,"10,000 - 14,999",1044,150386.0,43757.0
"Brevard County, Florida",52345,218469,"10,000 - 14,999",5686,528404.0,165994.0
"Broward County, Florida",51793,763241,"10,000 - 14,999",16071,1559339.0,535837.0
"Charlotte County, Florida",55965,53205,"10,000 - 14,999",755,181767.0,48267.0
"Citrus County, Florida",47372,38210,"10,000 - 14,999",1099,141164.0,29794.0
"Clay County, Florida",54153,86171,"10,000 - 14,999",1021,180036.0,52786.0
"Collier County, Florida",51928,125113,"10,000 - 14,999",1238,339492.0,128456.0
"Columbia County, Florida",45707,,"10,000 - 14,999",,57739.0,8992.0
"Duval County, Florida",53139,393955,"10,000 - 14,999",6659,801292.0,254098.0
"Escambia County, Florida",50681,113519,"10,000 - 14,999",2355,258559.0,75121.0
"Flagler County, Florida",51779,37477,"10,000 - 14,999",225,110577.0,33848.0
"Hernando County, Florida",48666,63526,"10,000 - 14,999",558,173370.0,33866.0
"Highlands County, Florida",41650,25664,"10,000 - 14,999",2011,90148.0,19140.0
"Hillsborough County, Florida",55699,589416,"10,000 - 14,999",11978,1206195.0,423910.0
"Indian River County, Florida",52115,47508,"10,000 - 14,999",1265,144623.0,45716.0
"Lake County, Florida",51200,136129,"10,000 - 14,999",2355,344020.0,100005.0
"Lee County, Florida",50876,262080,"10,000 - 14,999",3641,692259.0,205632.0
"Leon County, Florida",51137,105148,"10,000 - 14,999",1741,242471.0,95992.0
"Manatee County, Florida",54692,138730,"10,000 - 14,999",1411,365229.0,133159.0
"Marion County, Florida",44220,119891,"10,000 - 14,999",2644,333260.0,70967.0
"Martin County, Florida",55625,49968,"10,000 - 14,999",941,137540.0,54069.0
"Miami-Dade County, Florida",49230,1079618,"10,000 - 14,999",24477,2154325.0,720851.0
"Monroe County, Florida",51880,29769,"10,000 - 14,999",1130,67726.0,24475.0
"Nassau County, Florida",56297,34416,"10,000 - 14,999",345,82027.0,29270.0
"Okaloosa County, Florida",57304,79818,"10,000 - 14,999",1045,169247.0,55169.0
"Orange County, Florida",52401,573807,"10,000 - 14,999",8164,1160897.0,429143.0
"Osceola County, Florida",46625,168722,"10,000 - 14,999",3849,333825.0,98159.0
"Palm Beach County, Florida",56731,533118,"10,000 - 14,999",8058,1247725.0,490798.0
"Pasco County, Florida",55057,215662,"10,000 - 14,999",4500,504910.0,143715.0
"Pinellas County, Florida",54612,354403,"10,000 - 14,999",6400,816291.0,289129.0
