Area,Median earning,Population_16+,Earning range,Count,Population_18+,BA/BS_18+
"Polk County, Florida",48398,281783,"10,000 - 14,999",6730,638482.0,156508.0
"Putnam County, Florida",49940,,"10,000 - 14,999",,59956.0,9353.0
"St. Johns County, Florida",75906,113131,"10,000 - 14,999",2506,251498.0,124445.0
"St. Lucie County, Florida",48464,125171,"10,000 - 14,999",2018,300435.0,69800.0
"Santa Rosa County, Florida",57422,67565,"10,000 - 14,999",754,159211.0,49170.0
"Sarasota County, Florida",54604,137716,"10,000 - 14,999",1378,404159.0,160158.0
"Seminole County, Florida",56127,189911,"10,000 - 14,999",3754,385371.0,154263.0
"Sumter County, Florida",49048,,"10,000 - 14,999",,140519.0,50731.0
"Volusia County, Florida",48818,196429,"10,000 - 14,999",4692,487913.0,132234.0
"Walton County, Florida",52467,26774,"10,000 - 14,999",199,68412.0,23108.0
"Barrow County, Georgia",48233,37163,"10,000 - 14,999",1309,69789.0,10361.0
"Bartow County, Georgia",55307,44246,"10,000 - 14,999",482,88759.0,22649.0
"Bibb County, Georgia",45333,47210,"10,000 - 14,999",1422,118133.0,29243.0
"Bulloch County, Georgia",44612,24466,"10,000 - 14,999",208,67625.0,17572.0
"Carroll County, Georgia",51504,45371,"10,000 - 14,999",419,97158.0,21428.0
"Catoosa County, Georgia",53750,,"10,000 - 14,999",,53740.0,11412.0
"Chatham County, Georgia",51092,111854,"10,000 - 14,999",2246,241630.0,85528.0
"Cherokee County, Georgia",64283,113023,"10,000 - 14,999",1038,222757.0,85433.0
"Clarke County, Georgia",50558,45166,"10,000 - 14,999",1371,109042.0,42834.0
"Clayton County, Georgia",42588,107097,"10,000 - 14,999",2356,219695.0,51643.0
"Cobb County, Georgia",66171,327469,"10,000 - 14,999",5740,603797.0,286098.0
"Columbia County, Georgia",61775,60165,"10,000 - 14,999",1880,124487.0,42583.0
"Coweta County, Georgia",65048,57003,"10,000 - 14,999",1364,120447.0,42163.0
"DeKalb County, Georgia",60851,299440,"10,000 - 14,999",5168,592199.0,266678.0
"Dougherty County, Georgia",42015,26194,"10,000 - 14,999",1454,62839.0,12482.0
"Douglas County, Georgia",51616,61015,"10,000 - 14,999",1500,112073.0,33762.0
"Effingham County, Georgia",54795,,"10,000 - 14,999",,52322.0,14039.0
"Fayette County, Georgia",69482,45655,"10,000 - 14,999",629,95984.0,44185.0
"Floyd County, Georgia",44881,33859,"10,000 - 14,999",585,77507.0,20845.0
"Forsyth County, Georgia",85447,109224,"10,000 - 14,999",1516,204046.0,103499.0
"Fulton County, Georgia",77013,453952,"10,000 - 14,999",7413,856803.0,470751.0
"Glynn County, Georgia",50973,28555,"10,000 - 14,999",1458,68463.0,21754.0
"Gwinnett County, Georgia",51819,386795,"10,000 - 14,999",10688,731045.0,250045.0
"Hall County, Georgia",51175,76124,"10,000 - 14,999",1596,166387.0,45354.0
"Henry County, Georgia",52302,97774,"10,000 - 14,999",2128,191306.0,59022.0
"Houston County, Georgia",51403,64007,"10,000 - 14,999",1612,128435.0,38421.0
"Jackson County, Georgia",54796,34503,"10,000 - 14,999",303,66461.0,16086.0
"Liberty County, Georgia",46574,,"10,000 - 14,999",,50006.0,9166.0
"Lowndes County, Georgia",47663,40630,"10,000 - 14,999",648,91065.0,23404.0
"Muscogee County, Georgia",43402,66158,"10,000 - 14,999",2239,151870.0,38980.0
"Newton County, Georgia",50442,45052,"10,000 - 14,999",881,90194.0,20506.0
"Paulding County, Georgia",55729,73566,"10,000 - 14,999",980,137008.0,33969.0
"Richmond County, Georgia",41852,69855,"10,000 - 14,999",2119,159000.0,35445.0
"Rockdale County, Georgia",56796,,"10,000 - 14,999",,73686.0,24716.0
"Spalding County, Georgia",46051,,"10,000 - 14,999",,53653.0,8610.0
"Troup County, Georgia",47407,,"10,000 - 14,999",,53533.0,13084.0
"Walker County, Georgia",42303,,"10,000 - 14,999",,54457.0,9522.0
"Walton County, Georgia",56392,36237,"10,000 - 14,999",1272,81613.0,19925.0
"Whitfield County, Georgia",45041,38867,"10,000 - 14,999",778,78530.0,15321.0
"Hawaii County, Hawaii",52085,58672,"10,000 - 14,999",1889,164489.0,48842.0
"Honolulu County, Hawaii",61388,372829,"10,000 - 14,999",4264,787913.0,288076.0
"Kauai County, Hawaii",55476,26555,"10,000 - 14,999",387,58423.0,16802.0
"Maui County, Hawaii",55597,57361,"10,000 - 14,999",842,130406.0,38065.0
"Ada County, Idaho",62035,193903,"10,000 - 14,999",2653,412016.0,167234.0
"Bannock County, Idaho",52391,27409,"10,000 - 14,999",277,67957.0,21160.0
"Bonneville County, Idaho",53538,42831,"10,000 - 14,999",1063,93076.0,26915.0
"Canyon County, Idaho",50443,92452,"10,000 - 14,999",1919,189930.0,44132.0
"Kootenai County, Idaho",51355,59864,"10,000 - 14,999",988,144070.0,42836.0
"Twin Falls County, Idaho",46648,33931,"10,000 - 14,999",898,70775.0,13004.0
"Champaign County, Illinois",53487,69779,"10,000 - 14,999",1349,166539.0,65855.0
